model,evaluation,repository,sample_count,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fold_macro_f1_mean,fold_macro_f1_std
TF-IDF + Complement Naive Bayes,stratified_group_k_fold,bitcoin/bitcoin,300,0.64,0.6581180268231135,0.64,0.6218883693692142,0.6218883693692142,0.6208064177829807,0.025549102383859296
TF-IDF + Complement Naive Bayes,stratified_group_k_fold,facebook/react,300,0.76,0.7659863846975209,0.7599999999999999,0.7587876534596584,0.7587876534596583,0.7577890681464993,0.0871461104142941
TF-IDF + Complement Naive Bayes,stratified_group_k_fold,microsoft/vscode,300,0.71,0.7379980200148722,0.71,0.7111028148379903,0.7111028148379902,0.7084077489436867,0.041294271490397126
TF-IDF + Complement Naive Bayes,stratified_group_k_fold,opencv/opencv,300,0.6966666666666667,0.7000759191057698,0.6966666666666667,0.678021978021978,0.6780219780219781,0.6774722887869321,0.053331759929384596
TF-IDF + Complement Naive Bayes,stratified_group_k_fold,tensorflow/tensorflow,300,0.7233333333333334,0.7249553394734871,0.7233333333333333,0.7237836579291647,0.7237836579291647,0.7215569246466119,0.03084887312811793
TF-IDF + Complement Naive Bayes,stratified_group_k_fold,overall,1500,0.706,0.7174267380229528,0.706,0.6987168947236011,0.6987168947236011,,
TF-IDF + Logistic Regression,stratified_group_k_fold,bitcoin/bitcoin,300,0.6866666666666666,0.6854432830042586,0.6866666666666666,0.6814074258904378,0.6814074258904378,0.6806455169560206,0.03298237820463326
TF-IDF + Logistic Regression,stratified_group_k_fold,facebook/react,300,0.7833333333333333,0.7944417472454856,0.7833333333333333,0.7872236804390863,0.7872236804390862,0.7868549490787654,0.047980374346964665
TF-IDF + Logistic Regression,stratified_group_k_fold,microsoft/vscode,300,0.7433333333333333,0.7436626297000634,0.7433333333333333,0.7433905962174823,0.7433905962174823,0.7425451572446047,0.03487599245884083
TF-IDF + Logistic Regression,stratified_group_k_fold,opencv/opencv,300,0.7833333333333333,0.782819231743963,0.7833333333333333,0.782342945630237,0.782342945630237,0.7816645719857429,0.03972401990396464
TF-IDF + Logistic Regression,stratified_group_k_fold,tensorflow/tensorflow,300,0.7766666666666666,0.7798208011291172,0.7766666666666667,0.776947403384185,0.7769474033841849,0.7754371371089637,0.033034679525670824
TF-IDF + Logistic Regression,stratified_group_k_fold,overall,1500,0.7546666666666666,0.7572375385645775,0.7546666666666667,0.7542624103122857,0.7542624103122856,,
TF-IDF + Linear SVM,stratified_group_k_fold,bitcoin/bitcoin,300,0.6933333333333334,0.6917060092090691,0.6933333333333334,0.6891902814129947,0.6891902814129945,0.6878923779363423,0.032466287359296554
TF-IDF + Linear SVM,stratified_group_k_fold,facebook/react,300,0.7966666666666666,0.8013862755504094,0.7966666666666667,0.798335589572703,0.7983355895727029,0.7985393071496305,0.03331469302948026
TF-IDF + Linear SVM,stratified_group_k_fold,microsoft/vscode,300,0.7366666666666667,0.7357756444337443,0.7366666666666667,0.7358328631755313,0.7358328631755313,0.7343115410097527,0.040273172772329516
TF-IDF + Linear SVM,stratified_group_k_fold,opencv/opencv,300,0.76,0.7595305560579572,0.7599999999999999,0.7591435637120916,0.7591435637120917,0.7578962421150008,0.05680346148378709
TF-IDF + Linear SVM,stratified_group_k_fold,tensorflow/tensorflow,300,0.77,0.7743383327096754,0.7699999999999999,0.7707388981020822,0.7707388981020822,0.7687438829695116,0.026457432923133146
TF-IDF + Linear SVM,stratified_group_k_fold,overall,1500,0.7513333333333333,0.7525473635921711,0.7513333333333333,0.7506482391950805,0.7506482391950805,,
TF-IDF + Random Forest,stratified_group_k_fold,bitcoin/bitcoin,300,0.6433333333333333,0.6393930467134729,0.6433333333333333,0.6388979399732088,0.6388979399732089,0.6387408575658984,0.04798370683877056
TF-IDF + Random Forest,stratified_group_k_fold,facebook/react,300,0.7433333333333333,0.7553547184681949,0.7433333333333333,0.7476853442216225,0.7476853442216226,0.7477203895130874,0.044567541533184374
TF-IDF + Random Forest,stratified_group_k_fold,microsoft/vscode,300,0.6833333333333333,0.6868150769079562,0.6833333333333332,0.6825239411385265,0.6825239411385267,0.6826763135597349,0.03825397533569248
TF-IDF + Random Forest,stratified_group_k_fold,opencv/opencv,300,0.7,0.6993626908127591,0.6999999999999998,0.6977040978595729,0.6977040978595729,0.6978284028152159,0.06497289965828959
TF-IDF + Random Forest,stratified_group_k_fold,tensorflow/tensorflow,300,0.8033333333333333,0.8242435836123067,0.8033333333333332,0.805425649547658,0.8054256495476582,0.8040180616129498,0.039607030533981666
TF-IDF + Random Forest,stratified_group_k_fold,overall,1500,0.7146666666666667,0.721033823302938,0.7146666666666666,0.7144473945481178,0.7144473945481178,,
TF-IDF + Logistic Regression,official_holdout,bitcoin/bitcoin,300,0.71,0.7104338693321743,0.71,0.7048761228712356,0.7048761228712356,,
TF-IDF + Logistic Regression,official_holdout,facebook/react,300,0.8,0.8023664959167308,0.7999999999999999,0.7984142500271533,0.7984142500271533,,
TF-IDF + Logistic Regression,official_holdout,microsoft/vscode,300,0.7533333333333333,0.7561602418745276,0.7533333333333333,0.7532203865868216,0.7532203865868216,,
TF-IDF + Logistic Regression,official_holdout,opencv/opencv,300,0.75,0.7475637419471917,0.75,0.7478051283464366,0.7478051283464368,,
TF-IDF + Logistic Regression,official_holdout,tensorflow/tensorflow,300,0.77,0.7732981230172241,0.77,0.7698508849863105,0.7698508849863106,,
TF-IDF + Logistic Regression,official_holdout,overall,1500,0.7566666666666667,0.7579644944175697,0.7566666666666666,0.7548333545635915,0.7548333545635916,,
