model,evaluation,repository,sample_count,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fold_macro_f1_mean,fold_macro_f1_std
TF-IDF + Linear SVM,stratified_group_k_fold,bitcoin/bitcoin,300,0.64,0.6374436090225565,0.64,0.6384448613716907,0.6384448613716907,0.6374910273826595,0.02114882586046831
TF-IDF + Linear SVM,stratified_group_k_fold,facebook/react,300,0.76,0.7694740095683491,0.7599999999999999,0.7636174483419667,0.7636174483419668,0.7631687088605619,0.039829262791155166
TF-IDF + Linear SVM,stratified_group_k_fold,microsoft/vscode,300,0.6966666666666667,0.6996873476062739,0.6966666666666667,0.6974575387750771,0.6974575387750772,0.6954847845046968,0.04657192315709904
TF-IDF + Linear SVM,stratified_group_k_fold,opencv/opencv,300,0.7566666666666667,0.7591865444163272,0.7566666666666667,0.7571968058259427,0.7571968058259428,0.7563993013933308,0.05059605767621919
TF-IDF + Linear SVM,stratified_group_k_fold,tensorflow/tensorflow,300,0.7133333333333334,0.7195035460992908,0.7133333333333334,0.7155901535872081,0.7155901535872081,0.7112249711997399,0.0278156852494024
TF-IDF + Linear SVM,stratified_group_k_fold,overall,1500,0.7133333333333334,0.7170590113425594,0.7133333333333334,0.7144613615803771,0.7144613615803771,,
TF-IDF + Logistic Regression,stratified_group_k_fold,bitcoin/bitcoin,300,0.65,0.6500052145887372,0.65,0.6490751981718202,0.6490751981718204,0.6477708604024394,0.020731049706502396
TF-IDF + Logistic Regression,stratified_group_k_fold,facebook/react,300,0.7866666666666666,0.7967305548582827,0.7866666666666666,0.7899803534046882,0.7899803534046883,0.7895630941035007,0.05457370616632655
TF-IDF + Logistic Regression,stratified_group_k_fold,microsoft/vscode,300,0.7,0.704917812616257,0.6999999999999998,0.7015797354662734,0.7015797354662734,0.7009541992161331,0.049703798100905375
TF-IDF + Logistic Regression,stratified_group_k_fold,opencv/opencv,300,0.7433333333333333,0.7469797016385424,0.7433333333333333,0.7428314007623106,0.7428314007623106,0.7415841248557787,0.05241317345038432
TF-IDF + Logistic Regression,stratified_group_k_fold,tensorflow/tensorflow,300,0.7266666666666667,0.736631684157921,0.7266666666666666,0.7295524691358025,0.7295524691358025,0.7248021502575591,0.027226397358287257
TF-IDF + Logistic Regression,stratified_group_k_fold,overall,1500,0.7213333333333333,0.7270529935719481,0.7213333333333333,0.722603831388179,0.7226038313881791,,
TF-IDF + Complement Naive Bayes,stratified_group_k_fold,bitcoin/bitcoin,300,0.6633333333333333,0.6631334692503823,0.6633333333333332,0.6551508489913553,0.6551508489913555,0.6535046620649227,0.015598768707566598
TF-IDF + Complement Naive Bayes,stratified_group_k_fold,facebook/react,300,0.76,0.7611575687185445,0.7600000000000001,0.7542564583280553,0.7542564583280553,0.7522670075957523,0.07719971498792418
TF-IDF + Complement Naive Bayes,stratified_group_k_fold,microsoft/vscode,300,0.66,0.667189279451117,0.66,0.6588057123968726,0.6588057123968726,0.6578467577403352,0.046665104380334596
TF-IDF + Complement Naive Bayes,stratified_group_k_fold,opencv/opencv,300,0.6666666666666666,0.6632553606237817,0.6666666666666666,0.6580453524596103,0.6580453524596103,0.6590945386120227,0.058513552164085554
TF-IDF + Complement Naive Bayes,stratified_group_k_fold,tensorflow/tensorflow,300,0.7,0.7090315225094752,0.7000000000000001,0.7014296397234081,0.7014296397234081,0.6981411230375328,0.02812952647313309
TF-IDF + Complement Naive Bayes,stratified_group_k_fold,overall,1500,0.69,0.6927534401106601,0.6900000000000001,0.6855376023798603,0.6855376023798604,,
TF-IDF + Random Forest,stratified_group_k_fold,bitcoin/bitcoin,300,0.6233333333333333,0.6267201992609576,0.6233333333333334,0.6243135194752762,0.6243135194752762,0.6197681323327743,0.05570383973221097
TF-IDF + Random Forest,stratified_group_k_fold,facebook/react,300,0.7066666666666667,0.7194881371351961,0.7066666666666667,0.7102569232375927,0.7102569232375927,0.7075667006912284,0.06006589044966269
TF-IDF + Random Forest,stratified_group_k_fold,microsoft/vscode,300,0.6966666666666667,0.7022106548422338,0.6966666666666667,0.6977414434771191,0.6977414434771189,0.698211714527504,0.061667165597756764
TF-IDF + Random Forest,stratified_group_k_fold,opencv/opencv,300,0.6833333333333333,0.6860113757554213,0.6833333333333332,0.6822194105213911,0.6822194105213911,0.6796583427349197,0.04550568917270773
TF-IDF + Random Forest,stratified_group_k_fold,tensorflow/tensorflow,300,0.8333333333333334,0.8513684462451065,0.8333333333333334,0.8330860795439149,0.833086079543915,0.8326927322800145,0.045877694288183744
TF-IDF + Random Forest,stratified_group_k_fold,overall,1500,0.7086666666666667,0.717159762647783,0.7086666666666667,0.7095234752510589,0.7095234752510587,,
TF-IDF + Logistic Regression,official_holdout,bitcoin/bitcoin,300,0.6733333333333333,0.682151133466923,0.6733333333333333,0.6753952750521042,0.6753952750521042,,
TF-IDF + Logistic Regression,official_holdout,facebook/react,300,0.82,0.8232185990338164,0.82,0.8202025306978138,0.8202025306978138,,
TF-IDF + Logistic Regression,official_holdout,microsoft/vscode,300,0.67,0.6812181571217716,0.67,0.6700190825151043,0.6700190825151043,,
TF-IDF + Logistic Regression,official_holdout,opencv/opencv,300,0.76,0.7618378785971155,0.7599999999999999,0.7570013573865283,0.7570013573865284,,
TF-IDF + Logistic Regression,official_holdout,tensorflow/tensorflow,300,0.8266666666666667,0.8350679822330722,0.8266666666666667,0.8285226749684081,0.8285226749684081,,
TF-IDF + Logistic Regression,official_holdout,overall,1500,0.75,0.7566987500905398,0.75,0.7502281841239917,0.7502281841239917,,
