model,evaluation,repository,sample_count,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fold_macro_f1_mean,fold_macro_f1_std
setfit,official_holdout,facebook/react,300,0.8766666666666667,0.8754766704189465,0.8766666666666667,0.8750797076824309,0.8750797076824309,,
setfit,official_holdout,tensorflow/tensorflow,300,0.8666666666666667,0.8703703703703705,0.8666666666666667,0.8678702250130823,0.8678702250130823,,
setfit,official_holdout,microsoft/vscode,300,0.8033333333333333,0.8082377178757559,0.8033333333333333,0.8031403869981162,0.8031403869981162,,
setfit,official_holdout,bitcoin/bitcoin,300,0.75,0.7515796152083372,0.75,0.7506941845029264,0.7506941845029264,,
setfit,official_holdout,opencv/opencv,300,0.8233333333333334,0.8233796296296296,0.8233333333333334,0.8230801427078982,0.8230801427078982,,
setfit,official_holdout,overall,1500,0.8240000000000001,0.825808800700608,0.8240000000000001,0.8239729293808908,0.8239729293808908,,
roberta,official_holdout,facebook/react,300,0.8466666666666667,0.8443771043771043,0.8466666666666667,0.8440935672514619,0.8440935672514619,,
roberta,official_holdout,tensorflow/tensorflow,300,0.8566666666666667,0.8638182169067534,0.8566666666666667,0.8584536609983574,0.8584536609983574,,
roberta,official_holdout,microsoft/vscode,300,0.7633333333333333,0.775074413269991,0.7633333333333333,0.764311600377174,0.764311600377174,,
roberta,official_holdout,bitcoin/bitcoin,300,0.7533333333333333,0.7521066539643656,0.7533333333333333,0.7526345255178599,0.7526345255178599,,
roberta,official_holdout,opencv/opencv,300,0.7433333333333333,0.7555449953359029,0.7433333333333333,0.7421750316046287,0.7421750316046287,,
roberta,official_holdout,overall,1500,0.7926666666666666,0.7981842767708235,0.7926666666666666,0.7923336771498964,0.7923336771498964,,
fasttext,official_holdout,facebook/react,300,0.7866666666666666,0.7886674658975903,0.7866666666666666,0.7875660814054736,0.7875660814054736,,
fasttext,official_holdout,tensorflow/tensorflow,300,0.7066666666666667,0.7084175084175084,0.7066666666666667,0.706265664160401,0.706265664160401,,
fasttext,official_holdout,microsoft/vscode,300,0.7266666666666667,0.7324896189545677,0.7266666666666667,0.7275190868767833,0.7275190868767833,,
fasttext,official_holdout,bitcoin/bitcoin,300,0.6633333333333333,0.6639231782607076,0.6633333333333333,0.6618371382046896,0.6618371382046896,,
fasttext,official_holdout,opencv/opencv,300,0.7133333333333334,0.7180494190803468,0.7133333333333334,0.7087510260696778,0.7087510260696778,,
fasttext,official_holdout,overall,1500,0.7193333333333333,0.7223094381221442,0.7193333333333333,0.7183877993434051,0.7183877993434051,,
TF-IDF + Logistic Regression,official_holdout,bitcoin/bitcoin,300,0.71,0.7104338693321743,0.71,0.7048761228712356,0.7048761228712356,,
TF-IDF + Logistic Regression,official_holdout,facebook/react,300,0.8,0.8023664959167308,0.7999999999999999,0.7984142500271533,0.7984142500271533,,
TF-IDF + Logistic Regression,official_holdout,microsoft/vscode,300,0.7533333333333333,0.7561602418745276,0.7533333333333333,0.7532203865868216,0.7532203865868216,,
TF-IDF + Logistic Regression,official_holdout,opencv/opencv,300,0.75,0.7475637419471917,0.75,0.7478051283464366,0.7478051283464368,,
TF-IDF + Logistic Regression,official_holdout,tensorflow/tensorflow,300,0.77,0.7732981230172241,0.77,0.7698508849863105,0.7698508849863106,,
TF-IDF + Logistic Regression,official_holdout,overall,1500,0.7566666666666667,0.7579644944175697,0.7566666666666666,0.7548333545635915,0.7548333545635916,,
